Exp_Mass,Exp_Intensity
1280.665067,6883
1282.639282,3519
1286.687744,7106
1289.182156,10165
1289.87235,6925
1289.884801,8522
1290.983153,7423
1291.183555,12762
1291.283401,8370
1291.485151,5557
1291.683967,9694
1292.982906,5894
1293.185701,6141
1293.291956,4069
1293.682818,4200
1295.514676,2896
1296.020646,10646
1297.68621,10006
1297.861134,4889
1298.636262,8191
1300.685612,8452
1300.831734,5499
1300.853346,9269
1301.186852,13639
1302.443196,10672
1302.787398,3394
1303.08,4966
1303.282698,5391
1303.484376,9717
1304.346336,3866
1304.60054,4648
1304.662728,5036
1304.68447,9080
1304.839545,5637
1305.022148,5541
1305.790966,5121
1305.994068,5132
1306.197127,5286
1306.411055,4099
1306.691298,10035
1308.624626,14621
1309.71606,133103
1310.690367,12850
1310.70212,11624
1311.197966,10999
1312.300788,13931
1312.503123,17503
1312.986171,13474
1313.129683,10673
1313.52709,12751
1314.286187,3680
1315.68178,8799
1315.931576,6621
1316.100977,6700
1316.434538,7781
1316.599588,6616
1316.877476,5294
1317.047561,6864
1317.09518,6808
1317.783149,8139
1317.952523,17667
1318.036436,12353
1318.868302,19498
1319.121748,16349
1319.368599,26247
1319.953962,22531
1320.037051,37081
1320.287076,28885
1320.453311,33448
1320.536375,48494
1320.61927,17400
1320.785903,40010
1321.369535,16138
1321.701542,28962
1323.683447,11031
1326.19834,13367
1328.10308,3752
1328.869246,17655
1329.20452,28183
1329.956568,4029
1330.306002,5215
1330.463905,5078
1330.907085,6069
1331.876514,5502
1331.897316,5726
1331.897316,5742
1332.11466,4600
1333.039723,5300
1333.156538,3670
1333.954083,3279
1334.879467,7907
1334.906239,10585
1335.183952,7094
1335.207405,4159
1335.293598,7128
1336.033204,6971
1336.543568,12107
1337.372798,11431
1337.372798,8109
1338.049132,11185
1340.361031,8759
1340.875836,15396
1340.961387,7793
1341.213233,14462
1341.71029,45777
1342.043714,11197
1342.376575,7936
1342.518609,8773
1342.629234,10132
1343.128542,4282
1344.11451,7658
1344.211811,4601
1344.516933,4557
1345.71168,17112
1345.917273,4521
1346.724933,4549
1347.213402,5373
1348.085033,3233
1348.912172,8000
1349.714765,12984
1350.079803,8514
1350.734196,26251
1352.660045,12002
1352.718815,36453
1352.80896,7835
1352.900144,9858
1352.99041,8736
1353.173474,9853
1353.221137,13949
1353.631437,5251
1354.446672,7304
1354.811896,4666
1354.992271,6316
1355.079641,3908
1355.264144,7208
1355.355173,5895
1355.720003,4746
1356.04522,4750
1356.115449,5389
1356.115449,3227
1356.215427,5438
1356.385299,4164
1356.536571,8438
1356.629983,3876
1357.226658,6086
1357.512168,5739
1357.719761,17477
1357.814374,5189
1357.912931,3541
1358.121329,2756
1359.156486,3958
1359.156486,5038
1359.173242,5108
1360.045966,3123
1360.217663,11845
1360.468567,4831
1360.720056,15766
1360.826662,4355
1361.324398,3445
1362.243215,9478
1362.711776,10207
1362.922575,5162
1362.970351,6613
1363.126388,3584
1363.695073,13311
1364.715093,15521
1364.822356,5692
1368.718926,6795
1368.730018,8852
1368.821388,5041
1368.912948,3319
1369.840775,3174
1370.672204,15759
1370.722806,11863
1372.714416,5472
1372.854438,3319
1373.529029,3351
1373.724493,6817
1374.273951,7314
1374.452577,6218
1375.088827,9804
1375.365549,5961
1375.546351,7233
1375.729412,27607
1376.231036,3167
1376.324509,7793
1376.52482,6884
1376.613015,6356
1376.854719,4572
1376.94866,5128
1377.754681,5070
1378.103823,5583
1378.416836,10329
1378.631069,3783
1379.089081,5176
1379.252805,3571
1379.836589,5091
1380.530728,9814
1380.754165,29199
1380.853428,4917
1380.930683,8978
1382.33154,9408
1382.930338,5392
1383.133158,7686
1383.653151,18417
1384.033235,6408
1385.223581,5004
1385.53723,5172
1386.469769,2881
1386.89149,3525
1387.031489,5269
1387.128196,6826
1387.173282,6029
1387.462019,11734
1388.436643,12368
1389.723106,6166
1391.034244,7676
1391.935846,8906
1392.13559,9116
1392.230875,9924
1393.032516,12024
1393.4037,5472
1393.703589,3244
1393.737097,8571
1393.939192,8403
1394.079822,3341
1394.139558,3973
1394.471424,5478
1394.544012,3680
1394.612971,2964
1394.878108,4593
1395.238441,5893
1395.64051,9838
1395.741551,13885
1395.860682,3225
1396.616224,4130
1397.479762,4043
1398.769365,8225
1399.735617,11865
1400.290563,5117
1400.407429,6854
1400.523413,7389
1400.858349,4094
1401.140869,4722
1401.268709,2996
1401.624839,16018
1401.858376,6490
1402.002843,6323
1402.039423,5680
1402.258049,9960
1402.504923,5530
1403.089396,5900
1403.363412,5687
1404.738454,12939
1405.251125,7949
1407.104448,3621
1409.758064,5901
1410.018636,5326
1410.542535,7192
1410.568055,4231
1411.738187,8796
1411.754675,10852
1411.864674,4881
1411.94277,6917
1412.087818,8101
1412.346641,6016
1412.909461,5043
1413.244794,3369
1413.728654,4832
1413.748696,12704
1413.868818,3449
1414.046614,5188
1414.150214,6896
1414.345557,4897
1414.42276,7267
1414.448286,4146
1414.552537,4218
1415.04515,3844
1415.25023,8926
1415.364817,4950
1415.455197,5471
1415.554034,5508
1415.752988,24523
1416.085997,6054
1417.198872,5064
1417.242596,5390
